Date;Heure;Min;Sec;stationCode;stationName;stationState;stationKioskState;stationNbEDock;stationNbBike;stationNbEBike;nbFreeDock;nbFreeEDock;stationNbBikeOverflow;stationNbEBikeOverflow;stationInsertedInDb;stationOperativeDate
8/05/19;17;14;05;3036;Félix Faure / Vivier Merle;OPEN;;35;8;;27;;;;19-05-8 17:14:05;;
8/05/19;17;14;05;8057;Vienne  / Montagny;OPEN;;20;15;;5;;;;19-05-8 17:14:05;;
8/05/19;17;14;06;3051;Place Henri;OPEN;;13;6;;7;;;;19-05-8 17:14:06;;
8/05/19;17;14;06;10032;Primat / Decorps;OPEN;;13;1;;12;;;;19-05-8 17:14:06;;
8/05/19;17;14;06;2011;Sala / Rue du Plat;OPEN;;15;4;;10;;;;19-05-8 17:14:06;;
8/05/19;17;14;07;1001;Terreaux / Terme;OPEN;;16;0;;16;;;;19-05-8 17:14:07;;
8/05/19;17;14;07;10048;Place Marengo;OPEN;;27;16;;6;;;;19-05-8 17:14:07;;
8/05/19;17;14;07;10063;Perrin / Jean Jaurès;OPEN;;34;22;;11;;;;19-05-8 17:14:07;;
8/05/19;17;14;08;2041;Sala/Charité;OPEN;;16;6;;10;;;;19-05-8 17:14:08;;
8/05/19;17;14;08;2022;Place Carnot;OPEN;;30;9;;18;;;;19-05-8 17:14:08;;
8/05/19;17;14;08;10115;Place d\'Espagne / Stade Kruger;OPEN;;22;4;;18;;;;19-05-8 17:14:09;;
8/05/19;17;14;09;3085;Sacré Coeur;OPEN;;16;2;;0;;;;19-05-8 17:14:09;;
8/05/19;17;14;09;3024;Rockfeller / Esquirol;OPEN;;19;2;;17;;;;19-05-8 17:14:09;;
8/05/19;17;14;09;10086;Anatole France;OPEN;;10;6;;4;;;;19-05-8 17:14:09;;
8/05/19;17;14;10;10059;Anatole France / Zola;OPEN;;13;10;;3;;;;19-05-8 17:14:10;;
8/05/19;17;14;10;7012;Place des Pavillons;CLOSED;;13;0;;0;;;;19-05-8 17:14:10;;
8/05/19;17;14;10;5054;Champvert;OPEN;;18;6;;12;;;;19-05-8 17:14:10;;
8/05/19;17;14;11;4011;Place Joannès Ambre;OPEN;;20;0;;20;;;;19-05-8 17:14:11;;
8/05/19;17;14;11;1002;Opéra;OPEN;;22;0;;22;;;;19-05-8 17:14:11;;
8/05/19;17;14;12;2042;Joffre / Vaubecour;OPEN;;20;9;;10;;;;19-05-8 17:14:12;;
8/05/19;17;14;12;1021;Terreaux / Beaux Arts;OPEN;;11;0;;11;;;;19-05-8 17:14:12;;
8/05/19;17;14;13;5047;Albéric Pont;OPEN;;16;4;;11;;;;19-05-8 17:14:13;;
8/05/19;17;14;13;8053;Lumière/Trouilhet;OPEN;;16;1;;15;;;;19-05-8 17:14:13;;
8/05/19;17;14;13;9008;L\'Ile Barbe;OPEN;;16;9;;7;;;;19-05-8 17:14:13;;
8/05/19;17;14;14;4042;Grégory Coupet;OPEN;;16;0;;16;;;;19-05-8 17:14:14;;
8/05/19;17;14;14;7021;Challemel Lacour / Gerland;OPEN;;12;12;;0;;;;19-05-8 17:14:14;;
8/05/19;17;14;14;10073;Institut d\'Art contemporain;CLOSED;;15;0;;0;;;;19-05-8 17:14:14;;
8/05/19;17;14;15;2035;Childebert/Rivière;OPEN;;23;3;;20;;;;19-05-8 17:14:15;;
8/05/19;17;14;15;9022;Rue Masaryk / Saint Cyr;OPEN;;13;10;;3;;;;19-05-8 17:14:15;;
8/05/19;17;14;15;10112;Place de la Reconnaissance;CLOSED;;32;0;;0;;;;19-05-8 17:14:15;;
8/05/19;17;14;15;4024;Lyon Métropole;OPEN;;25;14;;11;;;;19-05-8 17:14:15;;
8/05/19;17;14;16;10016;Place de la paix;OPEN;;17;6;;10;;;;19-05-8 17:14:16;;
8/05/19;17;14;16;7033;St Luc / St Joseph;OPEN;;28;12;;15;;;;19-05-8 17:14:16;;
8/05/19;17;14;17;7041;Domer / Chevreul;OPEN;;12;11;;1;;;;19-05-8 17:14:17;;
8/05/19;17;14;17;3004;Bourse du travail;OPEN;;20;3;;17;;;;19-05-8 17:14:17;;
8/05/19;17;14;17;3016;Liberté / Part Dieu;OPEN;;18;5;;13;;;;19-05-8 17:14:17;;
8/05/19;17;14;18;6003;Avenue Verguin;OPEN;;20;1;;19;;;;19-05-8 17:14:18;;
8/05/19;17;14;18;7015;Techsud;OPEN;;12;0;;12;;;;19-05-8 17:14:18;;
8/05/19;17;14;18;8024;Mermoz / Michelet;OPEN;;12;11;;1;;;;19-05-8 17:14:18;;
8/05/19;17;14;19;10055;Condorcet / Galline;OPEN;;15;3;;12;;;;19-05-8 17:14:19;;
8/05/19;17;14;19;9050;Allée de l\'Europe;OPEN;;12;3;;9;;;;19-05-8 17:14:19;;
8/05/19;17;14;19;10087;Baratin;OPEN;;12;0;;12;;;;19-05-8 17:14:19;;
8/05/19;17;14;19;10041;Kimmerling;OPEN;;16;0;;15;;;;19-05-8 17:14:19;;
8/05/19;17;14;20;9014;Quai du Commerce;OPEN;;23;4;;19;;;;19-05-8 17:14:20;;
8/05/19;17;14;20;3097;Augagneur / Fosse aux Ours;OPEN;;16;7;;9;;;;19-05-8 17:14:20;;
8/05/19;17;14;20;8041;Etats-Unis / Viviani;OPEN;;20;8;;12;;;;19-05-8 17:14:20;;
8/05/19;17;14;21;2008;Place Antonin Poncet;OPEN;;18;5;;35;;;;19-05-8 17:14:21;;
8/05/19;17;14;21;1005;Meissonier;OPEN;;10;2;;8;;;;19-05-8 17:14:21;;
8/05/19;17;14;21;8021;Paul Santy;OPEN;;16;12;;3;;;;19-05-8 17:14:21;;
8/05/19;17;14;21;2001;Bellecour / République;OPEN;;18;16;;1;;;;19-05-8 17:14:21;;
8/05/19;17;14;22;10118;Voyant / Chambord;CLOSED;;22;3;;0;;;;19-05-8 17:14:22;;
8/05/19;17;14;22;2028;Sainte Blandine;OPEN;;16;2;;14;;;;19-05-8 17:14:22;;
8/05/19;17;14;22;2006;Place de l\'Hippodrome;OPEN;;14;4;;18;;;;19-05-8 17:14:22;;
8/05/19;17;14;23;3021;Place de la Ferrandière;OPEN;;20;12;;7;;;;19-05-8 17:14:23;;
8/05/19;17;14;23;2009;Confluence Les Docks;OPEN;;26;9;;16;;;;19-05-8 17:14:23;;
8/05/19;17;14;23;6040;Les Halles;OPEN;;15;4;;10;;;;19-05-8 17:14:23;;
8/05/19;17;14;23;4014;Philippe de Lassalle / Pillement;OPEN;;13;0;;12;;;;19-05-8 17:14:24;;
8/05/19;17;14;24;3099;Place Sainte Anne;OPEN;;18;1;;16;;;;19-05-8 17:14:24;;
8/05/19;17;14;24;10121;Parc du Centre;OPEN;;16;14;;2;;;;19-05-8 17:14:24;;
8/05/19;17;14;24;10058;métro Flachet;OPEN;;22;21;;1;;;;19-05-8 17:14:24;;
8/05/19;17;14;25;8010;Place Mendès France;OPEN;;20;14;;5;;;;19-05-8 17:14:25;;
8/05/19;17;14;25;3067;Hachette;OPEN;;15;15;;0;;;;19-05-8 17:14:25;;
8/05/19;17;14;26;7055;Servant / Jaboulay;OPEN;;16;9;;7;;;;19-05-8 17:14:26;;
8/05/19;17;14;26;5002;Place des Compagnons de la chanson;OPEN;;18;2;;16;;;;19-05-8 17:14:26;;
8/05/19;17;14;26;2024;République / Maupin;OPEN;;15;13;;2;;;;19-05-8 17:14:26;;
8/05/19;17;14;26;1035;Quai Lassagne;OPEN;;16;0;;16;;;;19-05-8 17:14:26;;
8/05/19;17;14;27;2014;Jacobins;OPEN;;16;7;;8;;;;19-05-8 17:14:27;;
8/05/19;17;14;27;6037;Cité Internationale / Interpol;OPEN;;27;4;;23;;;;19-05-8 17:14:27;;
8/05/19;17;14;27;10083;Château Gaillard / Bienvenus;OPEN;;15;8;;7;;;;19-05-8 17:14:27;;
8/05/19;17;14;28;2017;République / Ferrandière;OPEN;;15;1;;13;;;;19-05-8 17:14:28;;
8/05/19;17;14;28;2003;Place Ampère;OPEN;;10;0;;0;;;;19-05-8 17:14:28;;
8/05/19;17;14;29;10056;11 novembre / Gaston Berger;OPEN;;35;5;;30;;;;19-05-8 17:14:29;;
8/05/19;17;14;29;3029;Place Aristide Briand;OPEN;;38;11;;11;;;;19-05-8 17:14:29;;
8/05/19;17;14;29;4003;1, Place Cdt Arnaud;OPEN;;17;0;;17;;;;19-05-8 17:14:29;;
8/05/19;17;14;29;10031;Croix Luizet;OPEN;;22;18;;4;;;;19-05-8 17:14:29;;
8/05/19;17;14;30;2007;Patinoire Charlemagne;OPEN;;22;11;;11;;;;19-05-8 17:14:30;;
8/05/19;17;14;30;8004;Mairie 8e;OPEN;;21;18;;3;;;;19-05-8 17:14:30;;
